,sample,piece,field,analysis,Host,Length,Width,Phases,VL (%),VV (%),Tm CO2,Te,Tm Hh,Tm H2O,Tm CL,Th CO2,Hmg Mode,salinity(NaCleq wt%),salChen(NaCleq wt%),salBod(NaCleq%)
74,BU18FA32,C,FF1,8,brazilianite,20.8,10.5,L - V,74.0,26.0,,-72.8205974756268,-26.348951994088278,-10.692195898376804,3.8675900250236768,,,10.719097048098291,10.64379130441202,14.659886766022733
75,BU18FA32,C,FF1,9,brazilianite,26.8,15.2,L - V,77.0,23.0,,-59.856404530133226,-26.049778310730737,-12.786411681879613,-0.8194643475778476,,,16.49888686479567,16.530762972985332,16.69784953407507
76,BU18FA32,C,FF1,10,brazilianite,32.9,19.6,L - V,79.0,21.0,,-64.8426325860923,-25.750604627373193,-11.09109414285353,4.665386513977128,,,9.55003009533239,9.464973834639943,15.06493921689875
77,BU18FA20,E,FF1,5,trolleite,22.8,16.8,S - L - V,46.0,22.0,,-72.34325740623862,-20.563595304613138,-16.00063657535112,2.6479773616327713,,,12.393722508561602,12.340507645644143,19.44677703652901
78,BU18FA20,E,FF1,6,trolleite,9.3,5.2,L - V - S,80.0,18.0,-56.67048611877344,-72.34325740623862,-23.93621697406767,-12.429625395928673,-2.311760387565072,27.44666610762199,CO2 = V (c),18.01186417109948,18.07759385022917,16.365647746700002
79,BU18FA20,E,FF1,7,trolleite,13.1,11.5,L - V,78.0,22.0,,-73.33520495607819,-21.753932364420617,-13.322378190784285,-1.7165918576613315,,,17.424465665976616,17.47755138861171,17.1860071203214
80,BU18FA20,G,FF1,1,trolleite,33.3,32.9,S - L - V,24.0,7.0,-57.860823178580915,,,,,24.96679723302307,CO2 = L,,,
81,BU18FA20,G,FF1,2,trolleite,21.1,13.2,L - V - S,76.0,20.0,,-72.34325740623862,-24.630580258955366,-15.10788378049551,-2.7085394075008997,,,18.392386073034213,18.46570279161616,18.724193829568947
82,BU18FA20,G,FF1,3,trolleite,20.4,12.0,S - L - V,57.0,10.0,-56.67048611877344,,,,,24.96679723302307,CO2 = L,,,
83,BU18FA20,G,FF1,4,trolleite,17.0,9.5,V - L,52.0,48.0,-56.47209660880552,-70.35936230655949,-23.737827464099755,-13.322378190784285,2.5487826066488144,14.154568939771767,CO2 = V,12.524212291530924,12.47309796507338,17.1860071203214
84,BU18FA20,H,FF1,1,trolleite,46.9,26.0,L - V,76.0,24.0,,-72.34325740623862,-24.53138550397141,-14.71110476055968,1.854419321761116,,,13.414669000419766,13.379224859660669,18.393488727744977
85,BU18FA20,H,FF1,2,trolleite,36.2,25.3,L - V,75.0,25.0,,-71.35130985639906,-23.837022219083714,-14.909494270527594,2.2511983416969437,,,12.91071309221757,12.866120698225819,18.55960035396647
86,BU18FA20,H,FF1,3,trolleite,21.6,11.2,L - V,75.0,25.0,,-72.34325740623862,-23.53943795413184,-13.818351965704068,2.449587851664857,,,12.653870147657353,12.60489418074411,17.62649961517875
87,BU18FA20,H,FF1,4,trolleite,14.4,10.1,L - V,77.0,23.0,,-71.35130985639906,-23.737827464099755,-13.223183435800328,2.9455616265846416,,,11.997204066506159,11.937931071265954,17.096626484147883
88,BU18FA20,H,FF1,5,trolleite,17.4,8.8,L - V,77.0,23.0,,-72.34325740623862,-23.638632709115797,-13.123988680816371,2.3503930966809,,,12.782701830149897,12.735900392010276,17.006810857773196
90,BU18FA20,H,FF1,7,trolleite,23.3,10.2,L - V - S,72.0,25.0,,-73.33520495607819,-22.745879914260186,-13.619962455736156,1.6560298117932022,,,13.661874015405918,13.631168093276903,17.451571706779884
