,Date,sample,piece,field,Host,analysis,Length,Width,Phases,VL (%),VV (%),VS (%),Tm CO2,Te,Tm Hh,Tm H2O,Tm CL,Th CO2,Tm Xts,Th total,Hmg Mode,Type
111,27/07/2021,BU18FA32,B,FF2,brazilianite,2,30.6,9.5,L - V,80,20,,,,-25.2,-10.5,5,,,,,
112,27/07/2021,BU18FA32,B,FF2,brazilianite,3,26.2,9.2,L - V - S,75,24,1,,,-24.5,-10.3,4.8,,,,,
113,27/07/2021,BU18FA32,B,FF2,brazilianite,4,30.9,12.3,L - V,78,22,,,,-24.2,-10.5,4.7,,,,,
114,27/07/2021,BU18FA32,B,FF2,brazilianite,5,22.7,17.1,L - V - S,77,22,1,,,-25.1,-10.3,4.9,,,,CO2=L,
115,27/07/2021,BU18FA20,B,FF4,bertossaite,1,24.5,20.4,L - L - V,78,22,,-57.2,-50,-26.6,-12.6,-8.9,29.4,,,CO2=L,
116,27/07/2021,BU18FA20,B,FF4,bertossaite,2,19.8,14.5,L - L - V,77,23,,-57.2,-50,-27,-12.1,-8.5,29.4,,,CO2=L,
117,27/07/2021,BU18FA20,B,FF4,bertossaite,3,28.6,21.2,L - L - V,77,23,,-57.2,-50,-27.2,-11.9,-9.2,29.4,,,CO2=L,
118,27/07/2021,BU18FA20,B,FF4,bertossaite,4,26,8.2,L - L - V,75,25,,-57,-50,-26.6,-12.1,-9.1,29.4,,,CO2=L,
119,27/07/2021,BU18FA20,B,FF4,bertossaite,5,29,15.8,L - V - S,72,12,16,-57,-50,-26.6,-12.5,5.6,29.4,,,CO2=L,
120,27/07/2021,BU18FA20,J,FF1,trolleite,1,18.4,12.8,L - V - S,70,26,4,,-73,-24.4,-14.7,2.2,,,,,
121,27/07/2021,BU18FA20,J,FF1,trolleite,2,22,9,L - V - S,69,26,5,,-73,-23.8,-15.5,2.3,,,,,
122,27/07/2021,BU18FA20,J,FF1,trolleite,3,16.9,11.8,L - V - S,71,21,8,,-73,-24.3,-13.2,2.6,,,,,
123,3/08/2021,BU18FA19,A,FF7b,trolleite,1,21.7,13.2,L - V,80,20,,,,-24.2,-8.4,6.5,,,,,
124,3/08/2021,BU18FA19,A,FF7b,trolleite,2,14,11.6,L - V,76,24,,,,-22,-9,1.3,14.8,,,CO2=V,
125,3/08/2021,BU18FA19,A,FF7b,trolleite,3,14.7,9.3,L - V - S,61,24,15,,,-20.1,-8.7,4,13.3,,,CO2=V,
126,3/08/2021,BU18FA19,A,FF7b,trolleite,4,20.2,11.1,L - V - S,68,19,13,-60,,-20.9,-16.2,2.2,13.5,,,CO2=V,
127,3/08/2021,BU18FA19,A,FF7b,trolleite,5,17.1,9.6,L - V - S,63,25,12,,,-20.3,-16.4,2.4,10.8,,,,
128,3/08/2021,BU18FA19,A,FF7b,trolleite,6,17.1,8.4,L - V - S,66,22,12,,,-20.9,-16.3,2.5,,,,,
129,3/08/2021,BU18FA19,A,FF7b,trolleite,7,16.3,7.9,L - V - S,59,23,18,,,-21.3,-17.4,1.9,,,,,
130,3/08/2021,BU18FA19,A,FF7b,trolleite,8,16.2,10,L - V - S,52,27,21,-60.3,,-21.1,-17.1,2.5,15.8,,,CO2=V,
131,3/08/2021,BU18FA19,A,FF7b,trolleite,9,14.8,7,L - V,74,26,,,,-21.7,-15.8,1.8,,,,,
132,3/08/2021,BU18FA19,A,FF7b,trolleite,10,14.7,7.7,L - V,69,31,,,,-20.3,-16.4,2.3,,,,,
133,16/08/2021,BU18FA19,B,FF1,trolleite,1,28.6,16.7,S - L - V,46,17,37,-57.4,-40,-25.8,-23.2,0.2,22.6,,,CO2=V,
134,13/09/2021,BU18FA19,B,FF1,trolleite,2,17.9,10.2,L - V - S,72,24,4,-57.3,,-24.6,-23.6,1.4,23.8,,,CO2=V,
135,13/09/2021,BU18FA19,B,FF1,trolleite,3,18.6,12.4,L - V - S,71,21,8,-57.3,,-24.2,-23.1,1.1,,,,,
136,13/09/2021,BU18FA19,B,FF1,trolleite,4,28.6,11.3,L - V - S,76,21,3,-57.5,,-24,-17.8,2.2,22.1,,,CO2=V,
137,13/09/2021,BU18FA19,B,FF1,trolleite,5,13.3,7.6,L - V,76,24,,-57.2,,-24.3,-23.9,1.7,24.1,,,CO2=V,
138,20/09/2021,BU18FA19,B,FF1,trolleite,6,21.9,10.1,L - V - S,62,28,10,-57,,-24.9,-22.8,1.1,19.5,,,CO2=V,
139,20/09/2021,BU18FA19,B,FF1,trolleite,7,15.8,9.2,L - V - S,73,18,9,-57.3,,-23.6,-17.6,2.5,,,,,
140,20/09/2021,BU18FA19,B,FF1,trolleite,8,25.9,13.1,S - L - V,51,19,30,-57,,-24.2,-16.7,2.8,,,,,
