#Acq. time (s)=	1
#Accumulations=	1
#Range (cm-¹)=	100...4000
#Windows=	1
#Auto scanning=	Off
#Autofocus=	Off
#SWIFT=	On
#Macrospot=	Off
#AutoExposure=	Off
#Spike filter=	Off
#Delay time (s)=	0
#Binning=	1
#Readout mode=	Signal
#DeNoise=	Lite
#ICS correction=	Off
#Dark correction=	Off
#Inst. Process=	Off
#Detector temperature (°C)=	-60.09
#Instrument=	LabRAM HR Evol
#Detector=	SIN-EM FIVIS
#Objective=	x100_VIS
#Grating=	150 (500nm)
#ND Filter=	100%
#Laser=	532nm_Edge
#Hole=	30.0125
#Temperature=	0
#Range=	Visible
#StageXY=	75x50mm Scan+
#StageZ=	Z motor
#Z (µm)=	1887.6
#Full time(mm:ss)=	31:39
#Project=	Buranga
#Sample=	BU18FA20_G
#Site=	G_trl1
#Title=	20-G_trl1_MI01_topbb_1
#Remark=	
#Date=	30.07.2019 16:51
#Cursor=	Rectangle 20 points
#Y (µm)=	6.77912 ... 10.5653
#X (µm)=	3.39296 ... 7.39296
#Generated=	29.03.2022 09:38:49
3699.01	5.88632
3702.02	5.93121
3705.02	6.40454
3708.03	6.68884
3711.03	7.30394
3714.03	7.85667
3717.04	8.04944
3720.04	8.02812
3723.04	7.88879
3726.03	7.86777
3729.03	7.97556
3732.03	8.59811
3735.02	9.24387
3738.01	10.2651
3741	11.3346
3743.99	12.2318
3746.98	13.1167
3749.97	13.8576
3752.96	14.7302
3755.95	15.5672
3758.93	16.0779
3761.91	16.1688
3764.9	15.8959
3767.88	15.4342
3770.86	15.2413
3773.84	15.7001
3776.81	16.4545
3779.79	17.55
3782.77	18.4673
3785.74	19.4306
3788.71	20.2341
3791.68	20.7601
3794.65	20.6169
3797.62	20.2272
3800.59	20.058
3803.56	19.9998
3806.52	20.3989
3809.49	21.026
3812.45	21.5713
3815.41	21.9685
3818.37	22.3601
3821.33	22.9695
3824.29	23.3147
3827.25	23.5247
3830.21	24.2688
3833.16	25.1113
3836.11	25.6072
3839.07	25.8343
3842.02	25.489
3844.97	25.0158
3847.92	24.5682
3850.87	24.1157
3853.81	23.6573
3856.76	23.6218
3859.7	23.6571
3862.65	24.2087
3865.59	25.1243
3868.53	25.832
3871.47	25.8756
3874.41	25.8983
3877.34	25.8385
3880.28	25.7734
3883.22	25.9192
3886.15	26.4219
3889.08	26.8432
3892.01	27.1159
3894.94	26.8342
3897.87	26.5839
3900.8	26.1705
3903.73	25.7234
3906.65	25.6569
3909.58	25.3195
3912.5	25.1366
3915.42	25.0142
3918.35	24.7699
3921.27	24.6224
3924.18	24.3544
3927.1	23.6679
3930.02	23.0416
3932.93	22.6433
3935.85	22.4444
3938.76	22.4214
3941.67	22.3796
3944.58	22.5406
3947.49	22.5114
3950.4	22.7166
3953.31	22.2444
3956.22	21.5156
3959.12	20.3989
3962.02	18.8722
3964.93	17.5877
3967.83	16.2506
3970.73	15.2411
3973.63	14.363
3976.53	13.6867
3979.42	13.1991
3982.32	12.7494
3985.21	12.326
3988.11	10.8025
3991	8.46443
3993.89	6.11533
3996.78	8.21115
3999.67	5.90535
