#Acq. time (s)=	1
#Accumulations=	1
#Range (cm-¹)=	100...4000
#Windows=	1
#Auto scanning=	Off
#Autofocus=	Off
#SWIFT=	On
#Macrospot=	Off
#AutoExposure=	Off
#Spike filter=	Off
#Delay time (s)=	0
#Binning=	1
#Readout mode=	Signal
#DeNoise=	Lite
#ICS correction=	Off
#Dark correction=	Off
#Inst. Process=	Off
#Detector temperature (°C)=	-60.09
#Instrument=	LabRAM HR Evol
#Detector=	SIN-EM FIVIS
#Objective=	x100_VIS
#Grating=	150 (500nm)
#ND Filter=	100%
#Laser=	532nm_Edge
#Hole=	30.0125
#Temperature=	0
#Range=	Visible
#StageXY=	75x50mm Scan+
#StageZ=	Z motor
#Z (µm)=	1887.6
#Full time(mm:ss)=	31:39
#Project=	Buranga
#Sample=	BU18FA20_G
#Site=	G_trl1
#Title=	20-G_trl1_MI01_topbb_1
#Remark=	
#Date=	30.07.2019 16:51
#Cursor=	Rectangle 9 points
#Y (µm)=	-10.8896 ... -8.3655
#X (µm)=	-8.60704 ... -6.60704
#Generated=	29.03.2022 09:29:50
3023.09	15.4145
3026.38	16.937
3029.66	17.753
3032.94	17.2696
3036.22	16.6761
3039.5	15.9091
3042.78	15.9642
3046.05	17.902
3049.33	20.1455
3052.6	18.5973
3055.88	18.6356
3059.15	19.6724
3062.42	20.4534
3065.69	21.4966
3068.95	21.7777
3072.22	21.7075
3075.48	21.5922
3078.75	21.4365
3082.01	22.1705
3085.27	23.076
3088.53	22.6272
3091.79	22.2486
3095.04	23.0451
3098.3	24.114
3101.55	25.0701
3104.8	25.8111
3108.05	26.2697
3111.3	25.6992
3114.55	24.6068
3117.8	23.4292
3121.04	22.9046
3124.29	23.6347
3127.53	24.4638
3130.77	25.2477
3134.01	26.5965
3137.25	28.4889
3140.49	29.9666
3143.72	31.0855
3146.96	32.0258
3150.19	32.3896
3153.42	32.3778
3156.65	32.7104
3159.88	32.9322
3163.11	33.7001
3166.34	35.101
3169.56	37.3534
3172.79	40.0385
3176.01	42.5837
3179.23	45.1816
3182.45	49.8318
3185.67	53.7913
3188.88	56.8677
3192.1	61.6958
3195.31	68.4887
3198.53	73.8705
3201.74	79.1968
3204.95	83.37
3208.16	89.1565
3211.37	97.1178
3214.57	108.714
3217.78	122.184
3220.98	138.936
3224.18	157.741
3227.39	179.906
3230.59	207.591
3233.78	235.422
3236.98	260.775
3240.18	282.451
3243.37	294.103
3246.56	294.794
3249.76	285.92
3252.95	269.097
3256.14	248.491
3259.32	226.352
3262.51	204.708
3265.7	185.537
3268.88	168.604
3272.06	152.814
3275.24	139.323
3278.42	127.389
3281.6	116.964
3284.78	110.287
3287.96	105.385
3291.13	97.9334
3294.31	91.5563
3297.48	86.0867
3300.65	81.7633
3303.82	76.9567
3306.99	73.4839
3310.15	71.1596
3313.32	69.1094
3316.48	68.1172
3319.65	66.4472
3322.81	62.7309
3325.97	58.6536
3329.13	54.1613
3332.28	50.1019
3335.44	46.7173
3338.6	43.7452
3341.75	41.2775
3344.9	39.133
3348.05	36.4964
3351.2	33.9502
3354.35	31.7999
3357.5	30.078
3360.65	28.1425
3363.79	25.8709
3366.94	22.936
3370.08	20.949
3373.22	19.6137
3376.36	18.7783
3379.5	18.3318
3382.63	17.5062
3385.77	17.1958
3388.9	17.5003
3392.04	17.865
3395.17	18.7527
3398.3	19.3807
3401.43	15.6497
3404.56	14.5617
3407.69	15.9301
3410.81	23.8491
3413.94	37.7137
3417.06	50.9256
3420.18	75.7155
3423.3	137.641
3426.42	240.197
3429.54	261.4
3432.65	209.604
3435.77	119.628
3438.88	67.135
3442	38.8421
3445.11	21.0013
3448.22	14.1923
3451.33	10.2038
3454.43	9.02495
3457.54	11.0452
3460.65	12.4421
3463.75	14.1376
3466.85	14.6896
3469.95	16.3204
3473.05	17.6344
3476.15	20.1089
3479.25	24.2307
3482.35	31.0385
3485.44	40.9796
3488.54	53.9112
3491.63	66.8895
3494.72	82.5832
3497.81	106.378
3500.9	130.566
3503.99	160.188
3507.07	182.433
3510.16	193.779
3513.24	185.032
3516.32	156.869
3519.41	124.253
3522.49	94.6513
3525.56	68.8783
3528.64	48.6697
3531.72	37.9296
3534.79	30.7961
3537.87	25.5597
3540.94	21.9293
3544.01	18.6707
3547.08	14.3953
3550.15	12.7925
3553.22	12.0927
3556.28	10.337
3559.35	10.5974
3562.41	11.5813
3565.47	12.9707
3568.54	14.3039
3571.6	14.1022
3574.65	13.309
3577.71	12.5187
3580.77	12.0998
3583.82	12.6248
3586.88	13.0907
3589.93	13.2502
3592.98	12.7503
3596.03	10.2216
3599.08	9.38072
3602.13	8.76303
3605.18	12.8797
3608.22	24.6294
3611.27	42.8349
3614.31	77.1564
3617.35	115.724
