#Acq. time (s)=	1
#Accumulations=	1
#Range (cm-¹)=	100...4000
#Windows=	1
#Auto scanning=	Off
#Autofocus=	Off
#SWIFT=	On
#Macrospot=	Off
#AutoExposure=	Off
#Spike filter=	Off
#Delay time (s)=	0
#Binning=	1
#Readout mode=	Signal
#DeNoise=	Lite
#ICS correction=	Off
#Dark correction=	Off
#Inst. Process=	Off
#Detector temperature (°C)=	-60.09
#Instrument=	LabRAM HR Evol
#Detector=	SIN-EM FIVIS
#Objective=	x100_VIS
#Grating=	150 (500nm)
#ND Filter=	100%
#Laser=	532nm_Edge
#Hole=	30.0125
#Temperature=	0
#Range=	Visible
#StageXY=	75x50mm Scan+
#StageZ=	Z motor
#Z (µm)=	1887.6
#Full time(mm:ss)=	31:39
#Project=	Buranga
#Sample=	BU18FA20_G
#Site=	G_trl1
#Title=	20-G_trl1_MI01_topbb_1
#Remark=	
#Date=	30.07.2019 16:51
#Cursor=	Rectangle 9 points
#Y (µm)=	-5.8414 ... -3.3173
#X (µm)=	4.39296 ... 6.39296
#Generated=	29.03.2022 09:29:06
1888.47	9.69137
1892.25	10.5792
1896.03	11.2766
1899.8	11.6674
1903.57	11.6336
1907.34	10.7142
1911.11	9.15192
1914.88	7.58471
1918.65	6.01718
1922.41	5.05281
1926.18	5.87243
1929.94	6.77095
1933.7	7.48417
1937.45	7.96225
1941.21	8.13416
1944.96	7.38719
1948.72	6.28186
1952.47	5.19471
1956.22	4.52771
1959.96	5.06723
1963.71	6.36803
1967.45	6.89734
1971.2	7.37156
1974.94	8.01592
1978.68	7.69072
1982.42	7.06812
1986.15	6.41004
1989.89	4.46117
1993.62	2.98963
1997.35	2.05463
2001.08	1.02848
2004.8	0.576573
2008.53	0.381734
2012.25	0.975113
2015.98	2.21606
2019.7	4.02383
2023.42	5.86744
2027.13	7.68881
2030.85	8.98196
2034.56	8.89701
2038.28	8.17157
2041.99	7.2559
2045.7	5.96595
2049.41	5.75541
2053.11	5.86914
2056.82	5.77175
2060.52	5.726
2064.22	6.27458
2067.92	5.8889
2071.62	5.42302
2075.31	4.61205
2079.01	3.85586
2082.7	3.58784
2086.39	3.84471
2090.08	3.71749
2093.77	4.40579
2097.45	5.00856
2101.14	4.64058
2104.82	4.16096
2108.5	3.80558
2112.18	4.19578
2115.86	4.75829
2119.54	6.11681
2123.21	7.63731
2126.88	8.97481
2130.56	9.66882
2134.23	9.77467
2137.89	9.23051
2141.56	8.28169
2145.23	6.54841
2148.89	5.42041
2152.55	4.46168
2156.21	4.8063
2159.87	5.20236
2163.53	5.30772
2167.18	4.85299
2170.84	5.08611
2174.49	5.52646
2178.14	5.85571
2181.79	6.96743
2185.44	8.03284
2189.08	8.11704
2192.73	8.31489
2196.37	9.26934
2200.01	9.38152
2203.65	9.63351
2207.29	10.5819
2210.92	10.2707
2214.56	9.52827
2218.19	8.80152
2221.82	7.90412
2225.45	7.43857
2229.08	7.80454
2232.7	8.14058
2236.33	8.75764
2239.95	9.08253
2243.57	9.03305
2247.19	8.72636
2250.81	7.58497
2254.43	5.86884
2258.04	4.79617
2261.66	4.66605
2265.27	4.92185
2268.88	5.807
2272.49	7.09881
2276.1	7.59399
2279.7	9.35714
2283.31	9.34865
2286.91	8.49837
2290.51	7.75649
2294.11	6.82087
2297.71	6.27812
2301.3	6.3588
2304.9	6.86884
2308.49	7.39843
2312.08	8.1841
2315.67	9.4797
2319.26	9.84492
2322.85	10.3776
2326.43	11.2375
2330.02	11.4769
2333.6	12.1153
2337.18	12.4602
2340.76	12.1371
2344.34	11.6012
2347.91	11.572
2351.49	10.9721
2355.06	10.5427
2358.63	10.7993
2362.2	10.9894
2365.77	11.5192
2369.33	11.9965
2372.9	11.6055
2376.46	11.4759
2380.02	11.2339
2383.58	10.7966
2387.14	10.3087
2390.7	10.0651
2394.25	9.53307
2397.81	9.03257
2401.36	8.38797
2404.91	7.18609
2408.46	5.89212
2412.01	4.8957
2415.56	3.79631
2419.1	3.64488
2422.64	4.11967
2426.18	4.5088
2429.72	5.32681
2433.26	6.14824
2436.8	6.62414
2440.34	7.12274
2443.87	7.48897
2447.4	6.78233
2450.93	5.97847
2454.46	4.89482
2457.99	3.76861
2461.52	3.33215
2465.04	3.37342
2468.56	3.8361
2472.09	4.45817
2475.61	5.54006
2479.13	6.34365
2482.64	6.6729
2486.16	6.52675
2489.67	5.99722
2493.18	5.4722
2496.69	4.94214
2500.2	4.55424
2503.71	4.56248
2507.22	5.12041
2510.72	5.32696
2514.23	5.84576
2517.73	5.8368
2521.23	5.31324
2524.73	5.30081
2528.23	5.37989
2531.72	5.40927
2535.21	5.5307
2538.71	6.15122
2542.2	6.63428
2545.69	7.5465
2549.18	8.42922
2552.66	9.37683
2556.15	10.0176
2559.63	10.2825
2563.12	10.1213
2566.6	9.5793
2570.08	8.20366
2573.55	7.08843
2577.03	6.34593
2580.5	5.66038
2583.98	4.89996
2587.45	4.28426
2590.92	3.93961
2594.39	3.77661
2597.86	4.81862
2601.32	6.65212
2604.79	7.78291
2608.25	9.0024
2611.71	9.10169
2615.17	7.73703
2618.63	6.87364
2622.08	5.11335
2625.54	4.39361
2628.99	4.96526
2632.45	6.07627
2635.9	6.51542
2639.35	6.45986
2642.79	6.44297
2646.24	5.67365
2649.69	5.32173
2653.13	5.20757
2656.57	5.31591
2660.01	6.34381
2663.45	7.28468
2666.89	7.64981
2670.32	7.61097
2673.76	6.7753
2677.19	5.09569
2680.62	3.982
2684.05	3.83864
2687.48	4.22193
2690.91	5.07828
2694.33	5.97766
2697.76	6.26378
2701.18	7.14009
2704.6	7.94576
2708.02	7.64386
2711.44	7.18738
2714.86	6.37445
2718.27	5.69387
2721.69	5.47923
2725.1	5.22847
2728.51	5.02996
2731.92	5.56056
2735.33	6.27245
2738.74	6.87045
2742.14	7.24584
2745.55	6.91584
2748.95	6.1214
2752.35	5.13524
2755.75	4.42798
2759.15	3.12864
2762.54	2.11686
2765.94	2.64354
2769.33	3.20872
2772.72	4.30167
2776.12	5.10386
2779.51	4.84515
2782.89	4.48516
2786.28	3.7599
2789.67	2.97178
2793.05	3.11746
2796.43	2.69494
2799.81	2.31631
2803.19	3.48773
2806.57	4.54502
2809.95	5.31312
2813.32	6.33222
2816.69	6.72113
2820.06	6.79933
2823.44	6.88035
2826.81	6.53829
2830.17	5.87608
2833.54	5.09431
2836.9	4.48762
2840.27	3.86735
2843.63	3.44893
2846.99	3.25132
2850.35	2.61447
2853.71	2.48154
2857.06	2.9502
2860.42	3.8378
2863.77	5.38539
2867.12	6.39506
2870.48	7.02476
2873.83	7.58926
2877.17	8.24632
2880.52	7.99178
2883.86	7.53645
2887.21	7.21783
2890.55	6.36473
2893.89	5.93856
2897.23	6.96341
2900.57	7.02635
2903.91	7.38123
2907.24	7.57846
2910.57	7.24646
2913.91	7.15166
2917.24	6.73471
2920.57	5.86283
2923.9	4.94507
2927.22	4.05194
2930.55	3.43977
2933.87	3.40723
2937.19	4.13891
2940.51	5.07375
2943.83	6.30448
2947.15	7.16674
2950.47	7.74036
2953.79	7.64863
2957.1	7.38189
2960.41	7.27809
2963.72	7.54872
2967.03	7.75022
2970.34	7.40082
2973.65	7.40937
2976.95	7.39147
2980.26	6.66371
2983.56	5.76158
2986.86	4.93321
2990.16	3.87955
2993.46	3.43569
2996.76	3.63438
3000.06	3.61779
3003.35	3.6779
3006.64	4.35624
3009.94	4.57053
3013.23	4.99882
3016.51	6.17039
3019.8	5.9306
3023.09	5.82755
3026.38	6.40479
3029.66	6.18758
3032.94	6.2264
3036.22	6.40253
3039.5	4.92725
3042.78	4.18547
3046.05	3.62266
3049.33	2.75349
3052.6	2.74565
3055.88	2.93702
3059.15	3.4501
3062.42	7.96876
3065.69	6.44706
3068.95	6.16378
3072.22	5.58464
3075.48	5.42225
3078.75	5.00774
3082.01	5.73678
3085.27	6.89109
3088.53	8.14061
3091.79	9.36822
3095.04	10.3297
3098.3	9.83746
3101.55	8.97673
3104.8	7.83274
3108.05	6.69808
3111.3	6.76167
3114.55	8.16851
3117.8	8.18094
3121.04	7.95114
3124.29	6.98663
3127.53	5.32073
3130.77	4.18692
3134.01	3.39012
3137.25	2.88986
3140.49	3.61633
3143.72	5.47018
3146.96	6.84384
3150.19	8.74435
3153.42	10.8666
3156.65	11.5226
3159.88	11.8667
3163.11	11.9691
3166.34	11.3621
3169.56	10.4574
3172.79	9.85993
3176.01	8.79181
3179.23	8.08123
3182.45	7.8926
3185.67	8.37089
3188.88	9.42188
3192.1	11.1202
3195.31	12.2587
3198.53	13.4695
3201.74	14.0762
3204.95	14.5834
3208.16	15.1637
3211.37	16.4401
3214.57	17.3481
3217.78	18.0462
3220.98	18.327
3224.18	17.9081
3227.39	17.8643
3230.59	18.9398
3233.78	19.8834
3236.98	20.6947
3240.18	20.677
